name,commonName,longName,population,populaiton formatted,population year
Solomon Islands,Solomon Islands,,828857,"""829,000""",(2025 estimate)
Somalia,Somalia,Federal Republic of Somalia,20305907,"""20.3 Million""",(2026 estimate)
South Africa,South Africa,Republic of South Africa,63015904,"""63 Million""",(2024 estimate)
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,,22,"""22 (summer) 19 (winter)""",(2020 estimate)
South Sudan,South Sudan,Republic of South Sudan,12703714,"""12.7 Million""",(2024 estimate)
Spain,Spain,Kingdom of Spain,49801559,"""49.8 Million""",(2026 census)
Sri Lanka,Sri Lanka,"[""Democratic Socialist Republic of"",""Sri Lanka""]",21756000,"""21.8 Million""",(2025 estimate)
Sudan,Sudan,Republic of the Sudan,51767437,"""51.8 Million""",(2025 estimate)
Suriname,Suriname,Republic of Suriname,632638,"""633,000""",(2022 estimate)
Eswatini,Eswatini,Kingdom of Eswatini,1236126,"""1.24 Million""",(2023 estimate)
Sweden,Sweden,Kingdom of Sweden,10610483,"""10.6 Million""",(2026 estimate)
Switzerland,Switzerland,Swiss Confederation,8327126,"""8.33 Million""",(2015 census)
Syria,Syria,Syrian Arab Republic,26657437,"""26.7 Million""",(2026 estimate)
São Tomé and Príncipe,São Tomé and Príncipe,Democratic Republic of Sao Tome and Principe,220372,"""220,000""",(2023 estimate)
Taiwan,Taiwan,Republic of China,23299132,"""23.3 Million""",(2025 estimate)
Tajikistan,Tajikistan,Republic of Tajikistan,10978599,"""11 Million""",(2026 estimate)
Tanzania,Tanzania,United Republic of Tanzania,67462121,"""67.5 Million""",(2024 estimate)
Thailand,Thailand,Kingdom of Thailand,65975198,"""66 Million""",(2024 estimate)
Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,1434991,"""1.43 Million""",(2026 estimate)
Togo,Togo,Togolese Republic,9583381,"""9.58 Million""",(2024 estimate)
Tonga,Tonga,Kingdom of Tonga,100179,"""100,000""",(2021 census)
Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,1512779,"""1.51 Million""",(2025 estimate)
Tunisia,Tunisia,Republic of Tunisia,11972169,"""12 Million""",(2024 census)
Turkey,,Republic of Türkiye,86092168,"""86.1 Million""",(2025 estimate)
Turkmenistan,Turkmenistan,,7057841,"""7.06 Million""",(2022 census)
Turks and Caicos Islands,Turks and Caicos Islands,,50828,"""51,000""",(2024 estimate)
Tuvalu,Tuvalu,,10643,"""11,000""",(2022 census)
Uganda,Uganda,Republic of Uganda,45905417,"""45.9 Million""",(2024 census)
Ukraine,Ukraine,,32283000,"""32.3 Million""",(2026 estimate)
United Arab Emirates,UAE,United Arab Emirates,11027129,"""11 Million""",(2024 estimate)
United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,66912637,"""66.9 Million""",(2021 census)
United States of America,United States,United States of America,341784857,"""342 Million""",(2025 estimate)
Uruguay,Uruguay,Oriental Republic of Uruguay,3499451,"""3.5 Million""",(2023 census)
Uzbekistan,Uzbekistan,Republic of Uzbekistan,39047321,"""39 Million""",(2026 census)
Vanuatu,Vanuatu,Republic of Vanuatu,335908,"""336,000""",(2023 estimate)
Vatican City,Vatican City,Vatican City State,882,"""882""",(2024 estimate)
Venezuela,Venezuela,Bolivarian Republic of Venezuela,31800000,"""31.8 Million""",(2025 estimate)
Vietnam,Vietnam,Socialist Republic of Viet Nam,102300000,"""102 Million""",(2025 estimate)
"Virgin Islands, British",The Virgin Islands,,38984,"""39,000""",(2024 estimate)
"Virgin Islands, US",Virgin Islands of the United States,,87146,"""87,000""",(2020 census)
Wales,,,3107494,"""3.11 Million""",(2021 census)
Western Sahara,Western Sahara,,565581,"""566,000""",(2021 estimate)
Yemen,Yemen,Republic of Yemen,32684503,"""32.7 Million""",(2023 estimate)
Zambia,Zambia,Republic of Zambia,20216029,"""20.2 Million""",(2023 estimate)
Zimbabwe,Zimbabwe,Republic of Zimbabwe,17166852,"""17.2 Million""",(2026 estimate)
